model127,1.000000,1.584429,0.071969,100.000000,0.001415
model128,1.000000,0.781875,0.071969,100.000000,0.001801
model129,1.000000,0.386690,0.071969,100.000000,0.002293
model130,1.000000,0.191778,0.071969,100.000000,0.002923
model131,1.000000,0.095447,0.071969,100.000000,0.003730
model132,1.000000,0.047714,0.071969,100.000000,0.004768
model133,1.000000,0.023985,0.071969,100.000000,0.006105
model134,1.000000,0.012141,0.071969,100.000000,0.007837
model135,1.000000,0.006199,0.071969,100.000000,0.010091
model136,1.000000,0.003200,0.071969,100.000000,0.013043
model137,1.000000,0.001673,0.071969,100.000000,0.016939
model138,1.000000,0.000890,0.071969,100.000000,0.022133
model139,1.000000,0.000482,0.071969,100.000000,0.029138
model140,1.000000,0.000268,0.071969,100.000000,0.038717
model141,1.000000,0.000153,0.071969,100.000000,0.052037
model142,1.000000,0.000090,0.071969,100.000000,0.070920
model143,1.000000,0.000055,0.071969,100.000000,0.098283
model144,1.000000,0.000035,0.071969,100.000000,0.138924
model145,1.000000,0.000023,0.071969,100.000000,0.200920
model146,1.000000,0.000016,0.071969,100.000000,0.298202
model147,1.000000,0.000012,0.071969,100.000000,0.455336
model148,1.000000,0.000009,0.071969,100.000000,0.716540
model149,1.000000,0.000007,0.071969,100.000000,1.162850
model150,1.000000,0.000006,0.071969,100.000000,1.945046
model151,1.000000,112.736978,0.117877,100.000000,0.000336
model152,1.000000,55.295732,0.117877,100.000000,0.000427
model153,1.000000,27.137945,0.117877,100.000000,0.000543
model154,1.000000,13.328827,0.117877,100.000000,0.000689
model155,1.000000,6.552762,0.117877,100.000000,0.000876
model156,1.000000,3.225414,0.117877,100.000000,0.001114
model157,1.000000,1.590067,0.117877,100.000000,0.001417
model158,1.000000,0.785400,0.117877,100.000000,0.001803
model159,1.000000,0.388897,0.117877,100.000000,0.002297
model160,1.000000,0.193163,0.117877,100.000000,0.002930
model161,1.000000,0.096319,0.117877,100.000000,0.003742
model162,1.000000,0.048265,0.117877,100.000000,0.004786
model163,1.000000,0.024335,0.117877,100.000000,0.006135
model164,1.000000,0.012364,0.117877,100.000000,0.007886
model165,1.000000,0.006342,0.117877,100.000000,0.010171
model166,1.000000,0.003292,0.117877,100.000000,0.013173
model167,1.000000,0.001734,0.117877,100.000000,0.017153
model168,1.000000,0.000930,0.117877,100.000000,0.022485
model169,1.000000,0.000509,0.117877,100.000000,0.029719
model170,1.000000,0.000286,0.117877,100.000000,0.039685
model171,1.000000,0.000166,0.117877,100.000000,0.053660
model172,1.000000,0.000099,0.117877,100.000000,0.073664
model173,1.000000,0.000062,0.117877,100.000000,0.102972
model174,1.000000,0.000040,0.117877,100.000000,0.147024
model175,1.000000,0.000027,0.117877,100.000000,0.215089
